35.01.01.2001                                                                             1 Widoro
35.11.15.2010                                                                       10 Bajuran                                    Kepbup. No. 972/2004 dgn Rek. DPRD No. 170/145/430.4/2004
35.11.15.2011                                                                       11 Jirek Mas                                  Kepbup. No. 971/2004 dgn Rek. DPRD No. 170/145/430.4/2004
35.11.15.2012                                                                         12 Batu Salang                               Perbup. No. 220/2007 dgn Rek. DPRD No. 147/78/430.4/2007
35.11.15.2013                                                                         13 Palalangan                                Perbup. No. 460/2007 dgn Rek. DPRD No. 147/283/430.4/2007
35.11.15.2014                                                                         14 Batu Ampar                                Perbup. No. 465/2007 dgn Rek. DPRD No. 147/283/430.4/2007
35.11.15.2015                                                                         15 Bercak Asri                               Perbup. No. 1037/2007 dgn Rek. DPRD No. 147/289/430.4/2007
35.11.16.2001                                                                          1 Bandilan
35.11.16.2002                                                                          2 Sempol
35.11.16.2003                                                                          3 Tarum
35.11.16.2005                                                                          4 Prajekan Lor
35.11.16.2006                                                                          5 Prajekan Kidul
35.11.16.2007                                                                          6 Cangkring
35.11.16.2008                                                                          7 Walidono
35.11.17.2001                                                                          1 Andungsari
35.11.17.2002                                                                          2 Ardisaeng
35.11.17.2003                                                                          3 Kupang
35.11.17.2004                                                                          4 Gadingsari
35.11.17.2005                                                                          5 Pakem
35.11.17.2006                                                                          6 Sumberdumpyong
35.11.17.2007                                                                          7 Patemon
35.11.17.2008                                                                          8 Petung
35.11.18.2001                                                                          1 Sukorejo
35.11.18.2002                                                                          2 Sumber Gading
35.11.18.2003                                                                          3 Sukosari Kidul                            Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.11.18.2004                                                                          4 Tegaljati
35.11.18.2005                                                                          5 Rejo Agung
35.11.18.2006                                                                          6 Sumberwringin                             Perbup. No. 463/2007 dgn Rek. DPRD No. 147/283/430.4/2007
35.11.19.2001                                                                          1 Sempol
35.11.19.2002                                                                           2 Kalianyar
35.11.19.2003                                                                           3 Jampit                                    Kepbup. No. 973/2004 dgn Rek. DPRD No. 170/145/430.4/2004
35.11.19.2004                                                                           4 Kalisat                                   Kepbup. No. 974/2004 dgn Rek. DPRD No. 170/145/430.4/2004
35.11.19.2005                                                                           5 Kali Gedang                               Perbup. No. 217/2007 dgn Rek. DPRD No. 147/78/430.4/2007
35.11.19.2006                                                                           6 Sumber Rejo                               Perbup. No. 218/2007 dgn Rek. DPRD No. 147/78/430.4/2007
35.11.20.2001                                                                           1 Gadingsari
35.11.20.2002                                                                           2 Sumber Waru
35.11.20.2003                                                                           3 Kembangan
35.11.20.2004                                                                           4 Baratan
35.11.20.2005                                                                           5 Binakal
35.11.20.2006                                                                           6 Jeruksoksok
35.11.20.2007                                                                           7 Sumber Tengah
35.11.20.2008                                                                           8 Bendelan
35.11.21.2001                                                                           1 Taman                                     Semula wil. Kec. Tegalampel
35.11.21.2002                                                                           2 Gentong                                   Semula wil. Kec. Tegalampel
35.11.21.2003                                                                           3 Kemuningan                                Semula wil. Kec. Tegalampel
35.11.21.2004                                                                           4 Trebungan                                 Semula wil. Kec. Tegalampel
35.11.21.2005                                                                           5 Sumberkokap                               Semula wil. Kec. Tegalampel
35.11.21.2006                                                                           6 Paguan                                    Semula wil. Kec. Tegalampel
35.11.21.2007                                                                           7 Kretek                                    Semula wil. Kec. Tegalampel
35.11.22.2001                                                                           1 Lumutan                                   Semula wil. Kec. Klabang
35.11.22.2002                                                                           2 Botolinggo                                Semula wil. Kec. Klabang
35.11.22.2003                                                                           3 Lanas                                     Semula wil. Kec. Klabang
35.11.22.2004                                                                           4 Penang                                    Semula wil. Kec. Prajekan
35.11.22.2005                                                                           5 Gayam                                     Semula wil. Kec. Prajekan
35.11.22.2006                                                                           6 Klekehan                                  Semula wil. Kec. Prajekan
35.11.22.2007                                                                           7 Sumber Canting                            Semula wil. Kec. Klabang
35.11.22.2008                                                                           8 Gayam Lor                                 Perbup. No. 464/2007 dgn Rek. DPRD No. 147/283/430.4/2007
35.11.23.2001                                                                           1 Jambesari                                 Semula wil. Kec. Tamanan
35.11.23.2002                                                                           2 Jambeanom                                 Semula wil. Kec.Tamanan
35.11.23.2003                                                                              3 Pucanganom                                    Semula wil. Kec. Tamanan
35.11.23.2004                                                                              4 Sumberjeruk                                   Semula wil. Kec. Tamanan
35.11.23.2005                                                                              5 Tegalpasir                                    Semula wil. Kec. Tamanan
35.11.23.2006                                                                              6 Pengarang                                     Semula wil. Kec. Pujer
35.11.23.2007                                                                              7 Grujugan Lor                                  Semula wil. Kec. Grujukan
35.11.23.2008                                                                              8 Pejagan                                       Semula wil. Kec. Grujukan
35.11.23.2009                                                                              9 Sumber Anyar                                  Perbup. No. 462/2007 dgn Rek. DPRD No. 147/283/430.4/2007
35.12.01.2001                                                                              1 Pategalan
35.12.01.2002                                                                              2 Semambung
35.12.01.2003                                                                              3 Sumberanyar
35.12.01.2004                                                                              4 Jatibanteng
35.12.01.2005                                                                              5 Curahsuri
35.12.01.2006                                                                              6 Wringinanom
35.12.01.2007                                                                              7 Kembangsari
35.12.01.2008                                                                              8 Patemon
35.12.02.2001                                                                              1 Widoropayung
35.12.02.2002                                                                              2 Sumberejo
35.12.02.2003                                                                              3 Jetis
35.12.02.2004                                                                              4 Blimbing
35.12.02.2005                                                                              5 Langkap
35.12.02.2006                                                                              6 Bloro
35.12.02.2007                                                                              7 Pesisir
35.12.02.2008                                                                              8 Kalimas
35.12.02.2009                                                                              9 Besuki
35.12.02.2010                                                                              10 Demung
35.12.03.2001                                                                              1 Cemara
35.12.03.2002                                                                              2 Mojodungkul
35.12.03.2003                                                                              3 Gunung Malang
35.12.03.2004                                                                              4 Gunung Putri
35.12.03.2005                                                                              5 Suboh
35.12.03.2006                                                                              6 Dawuan
35.12.03.2007                                                                              7 Buduan
35.12.03.2008                                                                              8 Ketah
35.12.04.2001                                                                              1 Alas Bayur                                  Koreksi nama desa Srt Bupati No. 140/0422/431.213.2.3/2017
35.12.04.2002                                                                              2 Sumberanyar
35.12.04.2003                                                                              3 Campoan
35.12.04.2004                                                                              4 Trebungan                                   Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.04.2005                                                                              5 Sumber Pinang
35.12.04.2006                                                                              6 Selomukti
35.12.04.2007                                                                              7 Mlandingan Kulon
35.12.05.2001                                                                              1 Bugeman
35.12.05.2002                                                                              2 Kendit
35.12.05.2003                                                                              3 Balung
35.12.05.2004                                                                              4 Tambak Ukir
35.12.05.2005                                                                              5 Rajekwesi
35.12.05.2006                                                                              6 Kukusan
35.12.05.2007                                                                              7 Klatakan
35.12.06.2001                                                                              1 Paowan
35.12.06.2002                                                                              2 Sumberkolak
35.12.06.2003                                                                              3 Wringinanom
35.12.06.2004                                                                              4 Kilensari
35.12.06.2005                                                                              5 Peleyan
35.12.06.2006                                                                              6 Alasmalang
35.12.06.2007                                                                              7 Duwet
35.12.06.2008                                                                              8 Gelung
35.12.07.2001                                                                              1 Kalibagor
35.12.07.1002                                                     1 Patokan
35.12.07.1003                                                     2 Dawuhan
35.12.07.2004                                                                                2 Kotakan                                     Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.07.2005                                                                                3 Talkandang
35.12.07.2006                                                                                4 Olean
35.12.08.2001                                                                                1 Sliwung
35.12.08.1002                                                     1 Ardirejo
35.12.08.2003                                                                                2 Battal
35.12.08.2004                                                                                3 Klampokan
35.12.08.2005                                                                                4 Juglangan
35.12.08.2006                                                                                5 Panji Kidul
35.12.08.1007                                                     2 Mimbaan
35.12.08.2008                                                                                6 Panji Lor
35.12.08.2009                                                                                7 Tokelan
35.12.08.2010                                                                                8 Curah Jeru
35.12.08.2011                                                                                9 Tenggir
35.12.08.2012                                                                               10 Kayu Putih
35.12.09.2001                                                                                1 Tanjung Glugur
35.12.09.2002                                                                                2 Mangaran
35.12.09.2003                                                                                3 Tanjung Kamal
35.12.09.2004                                                                                4 Semiring
35.12.09.2005                                                                                5 Tanjung Pecinan                             Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.09.2006                                                                                6 Trebungan
35.12.10.2001                                                                                1 Kandang
35.12.10.2002                                                                                2 Curah Cotok                                 Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.10.2003                                                                                3 Peleyan
35.12.10.2004                                                                                4 Wonokoyo
35.12.10.2005                                                                                5 Seletreng                                   Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.10.2006                                                                                6 Landangan
35.12.10.2007                                                                                7 Kapongan
35.12.10.2008                                                                                8 Kesambirampak
35.12.10.2009                                                                                9 Gebangan
35.12.10.2010                                                                       10 Pokaan
35.12.11.2001                                                                        1 Kayumas
35.12.11.2002                                                                        2 Bayeman
35.12.11.2003                                                                        3 Ketowan
35.12.11.2004                                                                        4 Kedungdowo
35.12.11.2005                                                                        5 Jatisari
35.12.11.2006                                                                        6 Curah Tatal                              Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.11.2007                                                                        7 Arjasa
35.12.11.2008                                                                        8 Lamongan
35.12.12.2001                                                                        1 Sopet
35.12.12.2002                                                                        2 Curah Kalak                              Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.12.2003                                                                        3 Palangan
35.12.12.2004                                                                        4 Jangkar
35.12.12.2005                                                                        5 Gadingan
35.12.12.2006                                                                        6 Kumbangsari
35.12.12.2007                                                                        7 Pesanggrahan
35.12.12.2008                                                                        8 Agel
35.12.13.2001                                                                        1 Kedunglo
35.12.13.2002                                                                        2 Bantal
35.12.13.2003                                                                        3 Awar-awar
35.12.13.2004                                                                        4 Parante
35.12.13.2005                                                                        5 Trigonco
35.12.13.2006                                                                        6 Kertosari
35.12.13.2007                                                                        7 Mojosari
35.12.13.2008                                                                        8 Asembagus
35.12.13.2009                                                                        9 Gudang
35.12.13.2010                                                                       10 Wringin Anom                             Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.14.2001                                                                        1 Wonorejo
35.12.14.2002                                                                        2 Sumberanyar
35.12.14.2003                                                                                3 Sumberejo
35.12.14.2004                                                                                4 Banyuputih
35.12.14.2005                                                                                5 Sumberwaru
35.12.15.2001                                                                                1 Tamankursi
35.12.15.2002                                                                                2 Sumberargo
35.12.15.2003                                                                                3 Tamansari
35.12.15.2004                                                                                4 Kalirejo
35.12.15.2005                                                                                5 Baderan
35.12.15.2006                                                                                6 Alastengah
35.12.15.2007                                                                                7 Taman
35.12.15.2008                                                                                8 Tlogosari
35.12.15.2009                                                                                9 Plalangan
35.12.16.2001                                                                                1 Lubawang
35.12.16.2002                                                                                2 Kalisari
35.12.16.2003                                                                                3 Tepos
35.12.16.2004                                                                                4 Selabanteng
35.12.16.2005                                                                                5 Banyuglugur
35.12.16.2006                                                                                6 Telempong
35.12.16.2007                                                                                7 Kalianget
35.12.17.2001                                                                                1 Patemon
35.12.17.2002                                                                                2 Sumbertengah                                    Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.17.2003                                                                                3 Selowogo
35.12.17.2004                                                                                4 Mlandingan Wetan
35.12.17.2005                                                                                5 Bungatan
35.12.17.2006                                                                                6 Bletok                                          Koreksi nama desa srt Bup. No. 140/0422/431.213.2.3/2017 tgl
35.12.17.2007                                                                                7 Pasir Putih
35.13.01.2001                                                                                1 Ngadisari
35.13.01.2002                                                                                2 Wonotoro
35.13.01.2003                                                                       3 Jetak
35.13.01.2004                                                                       4 Ngadas
35.13.01.2005                                                                       5 Ngadirejo
35.13.01.2006                                                                       6 Sariwani
35.13.01.2007                                                                       7 Wonokerto                               Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.13.01.2008                                                                       8 Sapikerep
35.13.01.2009                                                                       9 Sukapura
35.13.01.2010                                                                      10 Pakel
35.13.01.2011                                                                      11 Kedasih
35.13.01.2012                                                                      12 Ngepung
35.13.02.2001                                                                       1 Ledokombo
35.13.02.2002                                                                       2 Pandansari
35.13.02.2003                                                                       3 Sumber
35.13.02.2004                                                                       4 Wonokerso
35.13.02.2005                                                                       5 Gemito
35.13.02.2006                                                                       6 Tukul
35.13.02.2007                                                                       7 Sumberanom
35.13.02.2008                                                                       8 Cepoko
35.13.02.2009                                                                       9 Remba'an
35.13.03.2001                                                                       1 Wonoasri
35.13.03.2002                                                                       2 Jatisari
35.13.03.2003                                                                       3 Kedawung
35.13.03.2004                                                                       4 Karangrejo
35.13.03.2005                                                                       5 Resongo
35.13.03.2006                                                                       6 Menyono
35.13.03.2007                                                                       7 Wringinanom
35.13.04.2001                                                                       1 Gunungtugel
35.13.04.2002                                                                       2 Kedungrejo
35.13.04.2003                                                                       3 Patokan
35.13.04.2004                                                                       4 Bantaran
35.13.04.2005                                                                       5 Legundi
35.13.04.2006                                                                        6 Tempuran
35.13.04.2007                                                                        7 Kropak
35.13.04.2008                                                                        8 Besuk
35.13.04.2009                                                                        9 Kramatagung
35.13.04.2010                                                                       10 Karanganyar
35.13.05.2001                                                                        1 Malasankulon
35.13.05.2002                                                                        2 Tigasan Wetan
35.13.05.2003                                                                        3 Tigasan Kulon
35.13.05.2004                                                                        4 Pondok Wuluh
35.13.05.2005                                                                        5 Leces
35.13.05.2006                                                                        6 Sumberkedawung
35.13.05.2007                                                                        7 Kerpangan
35.13.05.2008                                                                        8 Clarak
35.13.05.2009                                                                        9 Jorongan
35.13.05.2010                                                                       10 Warujinggo
35.13.06.2001                                                                        1 Sentulan
35.13.06.2002                                                                        2 Gadingkulon
35.13.06.2003                                                                        3 Klenangkidul
35.13.06.2004                                                                        4 Klenanglor
35.13.06.2005                                                                        5 Alassapi
35.13.06.2006                                                                        6 Pendil
35.13.06.2007                                                                        7 Tarokan
35.13.06.2008                                                                        8 Liprak Wetan
35.13.06.2009                                                                        9 Liprak Kidul
35.13.06.2010                                                                       10 Liprak Kulon
35.13.06.2011                                                                       11 Banyuanyar Tengah
35.13.06.2012                                                                       12 Banyuanyar Kidul
35.13.06.2013                                                                       13 Gununggeni
35.13.06.2014                                                                       14 Blado Wetan
35.13.07.2001                                                                        1 Andungbiru
35.13.07.2002                                                                        2 Tlogoargo
35.13.07.2003                                                                       3 Andungsari
35.13.07.2004                                                                       4 Tlogosari
35.13.07.2005                                                                       5 Ranugedang
35.13.07.2006                                                                       6 Tiris
35.13.07.2007                                                                       7 Segaran
35.13.07.2008                                                                       8 Ranuagung
35.13.07.2009                                                                       9 Jangkang
35.13.07.2010                                                                      10 Wedusan
35.13.07.2011                                                                      11 Racek
35.13.07.2012                                                                      12 Pesawahan
35.13.07.2013                                                                      13 Pedagangan
35.13.07.2014                                                                      14 Rejing
35.13.07.2015                                                                      15 Tegalwatu
35.13.07.2016                                                                      16 Tuluparari
35.13.08.2001                                                                       1 Sumberduren
35.13.08.2002                                                                       2 Roto
35.13.08.2003                                                                       3 Kertosuko
35.13.08.2004                                                                       4 Tambelang
35.13.08.2005                                                                       5 Betek
35.13.08.2006                                                                       6 Krucil
35.13.08.2007                                                                       7 Guyangan
35.13.08.2008                                                                       8 Watupanjang
35.13.08.2009                                                                       9 Bermi
35.13.08.2010                                                                      10 Kalianan
35.13.08.2011                                                                      11 Plaosan
35.13.08.2012                                                                      12 Pandanaras
35.13.08.2013                                                                      13 Seneng
35.13.08.2014                                                                      14 Krobungan
35.13.09.2001                                                                       1 Batur
35.13.09.2002                                                                       2 Betek Taman
35.13.09.2003                                                                       3 Sentul
35.13.09.2004                                                                       4 Dandang
35.13.09.2005                                                                        5 Kertosono
35.13.09.2006                                                                        6 Prasi
35.13.09.2007                                                                        7 Duren
35.13.09.2008                                                                        8 Renteng
35.13.09.2009                                                                        9 Bulupadak
35.13.09.2010                                                                       10 Keben
35.13.09.2011                                                                       11 Gadingwetan
35.13.09.2012                                                                       12 Wangkal
35.13.09.2013                                                                       13 Nogosaren
35.13.09.2014                                                                       14 Mojolegi
35.13.09.2015                                                                       15 Sumbersecang
35.13.09.2016                                                                       16 Condong
35.13.09.2017                                                                       17 Jurangjero
35.13.09.2018                                                                       18 Kaliancar
35.13.09.2019                                                                       19 Ranuwurung
35.13.10.2001                                                                        1 Ranon
35.13.10.2002                                                                        2 Kedungsumur
35.13.10.2003                                                                        3 Gunggungan Kidul
35.13.10.2004                                                                        4 Gunggungan Lor
35.13.10.2005                                                                        5 Petemon Kulon
35.13.10.2006                                                                        6 Pakuniran
35.13.10.2007                                                                        7 Alaspandan
35.13.10.2008                                                                        8 Sumberkembar
35.13.10.2009                                                                        9 Sogaan
35.13.10.2010                                                                       10 Glagah
35.13.10.2011                                                                       11 Bucor Kulon
35.13.10.2012                                                                       12 Bucor Wetan
35.13.10.2013                                                                       13 Bimo
35.13.10.2014                                                                       14 Kertonegoro
35.13.10.2015                                                                       15 Gondosuli
35.13.10.2016                                                                       16 Kalidandan
35.13.10.2017                                                                       17 Blimbing
35.13.11.2001                                                                        1 Sumber Centeng
35.13.11.2002                                                                        2 Sambirampak Kidul
35.13.11.2003                                                                        3 Sidomulyo
35.13.11.2004                                                                        4 Tambakukir
35.13.11.2005                                                                        5 Curahtemu
35.13.11.2006                                                                        6 Sidorejo
35.13.11.2007                                                                        7 Sambirampak Lor
35.13.11.2008                                                                        8 Kedungrejoso
35.13.11.2009                                                                        9 Talkandang
35.13.11.2010                                                                       10 Triwungan                                   Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.13.11.2011                                                                       11 Sukorejo
35.13.11.2012                                                                       12 Pasembon
35.13.11.2013                                                                       13 Kotaanyar
35.13.12.2001                                                                        1 Jabungsisir
35.13.12.2002                                                                        2 Jabungcandi
35.13.12.2003                                                                        3 Jabung Wetan
35.13.12.2004                                                                        4 Kalikajar Kulon
35.13.12.2005                                                                        5 Kalikajar Wetan
35.13.12.2006                                                                        6 Pandean
35.13.12.2007                                                                        7 Alastengah
35.13.12.2008                                                                        8 Sidodadi
35.13.12.2009                                                                        9 Randumerak
35.13.12.2010                                                                       10 Randutatah
35.13.12.2011                                                                       11 Karanganyar
35.13.12.2012                                                                       12 Plampang
35.13.12.2013                                                                       13 Petunjungan
35.13.12.2014                                                                       14 Taman
35.13.12.2015                                                                       15 Paiton
35.13.12.2016                                                                       16 Sukodadi
35.13.12.2017                                                                       17 Podokkelor
35.13.12.2018                                                                       18 Sumberanyar
35.13.12.2019                                                                       19 Sumberejo
35.13.12.2020                                                                       20 Bhinor
35.13.13.2001                                                                                  1 Bago
35.13.13.2002                                                                                  2 Kecik
35.13.13.2003                                                                                  3 Alasnyiur
35.13.13.2004                                                                                  4 Sindetlami
35.13.13.2005                                                                                  5 Jambangan
35.13.13.2006                                                                                  6 Klampokan
35.13.13.2007                                                                                  7 Matekan
35.13.13.2008                                                                                  8 Krampilan
35.13.13.2009                                                                                  9 Besukagung
35.13.13.2010                                                                                 10 Besukkidul
35.13.13.2011                                                                                 11 Sumurdalam
35.13.13.2012                                                                                 12 Sindetanyar
35.13.13.2013                                                                                 13 Randujalak
35.13.13.2014                                                                                 14 Alastengah
35.13.13.2015                                                                                 15 Alaskandang
35.13.13.2016                                                                                 16 Alassumurlor
35.13.13.2017                                                                                 17 Sumberan
35.13.14.2001                                                                                  1 Kregenan
35.13.14.2002                                                                                  2 Rondokuning
35.13.14.1003                                                      1 Semampir
35.13.14.2004                                                                                  3 Bulu
35.13.14.1005                                                      2 Sidomukti
35.13.14.2006                                                                                  4 Rangkang
35.13.14.1007                                                      3 Kraksaan Wetan
35.13.14.1008                                                      4 Kandang Jati Kulon
35.13.14.2009                                                                                  5 Kandang Jati Wetan
35.13.14.2010                                                                                  6 Alassumur Kulon                             Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.13.14.2011                                                                                  7 Sumberlele
35.13.14.2012                                                                                  8 Tamansari
35.13.14.2013                                                                                  9 Asembakor
35.13.14.2014                                                                                 10 Kebonagung
35.13.14.2015                                                                                 11 Sidopekso
35.13.14.2016                                                                               12 Kalibuntu
35.13.14.1017                                                      5 Patokan
35.13.14.2018                                                                               13 Asembagus
35.13.15.2001                                                                                1 Temenggungan
35.13.15.2002                                                                                2 Patemon
35.13.15.2003                                                                                3 Jatiurip
35.13.15.2004                                                                                4 Opo Opo
35.13.15.2005                                                                                5 Kamalkuning
35.13.15.2006                                                                                6 Tanjungsari
35.13.15.2007                                                                                7 Krejengan
35.13.15.2008                                                                                8 Sentong
35.13.15.2009                                                                                9 Sumberkatimoho
35.13.15.2010                                                                               10 Karangren
35.13.15.2011                                                                               11 Rawan
35.13.15.2012                                                                               12 Seboro
35.13.15.2013                                                                               13 Kedungcaluk
35.13.15.2014                                                                               14 Widoro
35.13.15.2015                                                                               15 Gebangan
35.13.15.2016                                                                               16 Duwuhan
