36.01.01.2001                                                                             1 Sumberjaya
36.02.17.2010                                                                       10 Sumurbandung
36.02.17.2011                                                                       11 Parage
36.02.17.2012                                                                       12 Sukadaya
36.02.17.2013                                                                       13 Pasirgintung                                Perda No. 3 / 2006
36.02.18.2001                                                                        1 Tambakbaya
36.02.18.2002                                                                        2 Kaduagung Timur
36.02.18.2003                                                                        3 Panancangan
36.02.18.2004                                                                        4 Cibadak
36.02.18.2005                                                                        5 Asem
36.02.18.2006                                                                        6 Cisangu
36.02.18.2007                                                                        7 Kaduagung Barat
36.02.18.2008                                                                        8 Bojongcae
36.02.18.2009                                                                        9 Malabar
36.02.18.2010                                                                       10 Pasar Keong
36.02.18.2011                                                                       11 Bojong Leles
36.02.18.2012                                                                       12 Cimenteng Jaya                              Perda No. 1/2008
36.02.18.2013                                                                       13 Mekar Agung                                 Perda No. 1/2008
36.02.18.2014                                                                       14 Asem Margaluyu                              Perda No. 1/2008
36.02.18.2015                                                                       15 Kaduagung Tengah                            Perda No. 1/2008
36.02.19.2001                                                                        1 Cibeber
36.02.19.2002                                                                        2 Citorek Tengah                              Perubahan nama Ds. Citorek, Perda No. 3/2006
36.02.19.2003                                                                        3 Cisungsang
36.02.19.2004                                                                        4 Kujangjaya
36.02.19.2005                                                                        5 Kujangsari
36.02.19.2006                                                                        6 Neglasari
36.02.19.2007                                                                        7 Mekarsari
36.02.19.2008                                                                        8 Cikotok
36.02.19.2009                                                                        9 Sukamulya
36.02.19.2010                                                                       10 Citorek Timur                               Perubahan nama Ds. Ciparay, Perda No. 3/2006
36.02.19.2011                                                                       11 Warungbanten
36.02.19.2013                                                                       12 Hegarmanah
36.02.19.2014                                                                       13 Situmulya
36.02.19.2015                                                                       14 Citorek Kidul                               Perubahan nama Ds. Ciusul, Perda No. 3/2006
36.02.19.2016                                                                       15 Cikadu
36.02.19.2017                                                                       16 Sirnagalih                                  Semula Desa Sinargalih PP No. 44/1992
36.02.19.2018                                                                       17 Cihambali
36.02.19.2019                                                                       18 Citorek Barat                               Perda No. 3 / 2006
36.02.19.2020                                                                       19 Gunungwangun                                Perda No. 3 / 2006
36.02.19.2021                                                                       20 Wanasari                                    Perda No. 3 / 2006
36.02.19.2022                                                                       21 Citorek Sabrang                             Perda No. 1/2008
36.02.19.2023                                                                       22 Ciherang                                    Perda No. 1/2008
36.02.20.2001                                                                        1 Cilograng
36.02.20.2002                                                                        2 Cibareno
36.02.20.2003                                                                        3 Cikamunding
36.02.20.2004                                                                        4 Cijengkol
36.02.20.2005                                                                        5 Pasirbungur
36.02.20.2006                                                                        6 Lebaktipar
36.02.20.2007                                                                        7 Cikatomas
36.02.20.2008                                                                        8 Girimukti                                   Perda No. 3 / 2006
36.02.20.2009                                                                        9 Cireundeu                                   Perda No. 3 / 2006
36.02.20.2010                                                                       10 Gunungbatu                                  Perda No. 3 / 2006
36.02.21.2001                                                                        1 Wanasalam
36.02.21.2002                                                                        2 Bejod
36.02.21.2003                                                                        3 Cilangkap
36.02.21.2004                                                                        4 Cipeucang
36.02.21.2005                                                                        5 Muara
36.02.21.2006                                                                        6 Parungpanjang
36.02.21.2007                                                                        7 Cikeusik
36.02.21.2008                                                                        8 Katapang
36.02.21.2009                                                                        9 Cisarap
36.02.21.2010                                                                       10 Sukatani
36.02.21.2011                                                                       11 Cipedang
36.02.21.2012                                                                       12 Parungsari
36.02.21.2013                                                                       13 Karangpamindangan                           Perda No. 3 / 2006
36.02.22.2001                                                                        1 Ciparasi                                    Semula Desa Citujah Perda No. 1/2008
36.02.22.2002                                                                        2 Sobang
36.02.22.2003                                                                        3 Sukajaya
36.02.22.2004                                                                         4 Sindanglaya
36.02.22.2005                                                                         5 Sukamaju
36.02.22.2006                                                                         6 Hariang
36.02.22.2007                                                                         7 Majasari
36.02.22.2008                                                                         8 Sinar Jaya                                  Semula Desa Cilebang, Perda No 1/2008
36.02.22.2009                                                                         9 Cirompang
36.02.22.2010                                                                        10 Sukaresmi                                   Perda No. 3 / 2006
36.02.23.2001                                                                         1 Guradog
36.02.23.2002                                                                         2 Curugbitung
36.02.23.2003                                                                         3 Candi
36.02.23.2004                                                                         4 Mayak
36.02.23.2005                                                                         5 Cipining
36.02.23.2006                                                                         6 Cilayang
36.02.23.2007                                                                         7 Ciburuy
36.02.23.2008                                                                         8 Sekarwangi
36.02.23.2009                                                                         9 Cidadap
36.02.23.2010                                                                        10 Lebakasih                                   Perda No. 3 / 2006
36.02.24.2001                                                                         1 Kalanganyar                                 Semula wil. Kec. Rangkasbitung
36.02.24.2002                                                                         2 Pasirkupa                                   Semula wil. Kec. Rangkasbitung
36.02.24.2003                                                                         3 Cilangkap                                   Semula wil. Kec. Rangkasbitung
36.02.24.2004                                                                         4 Aweh                                        Semula wil. Kec. Rangkasbitung
36.02.24.2005                                                                         5 Sangiangtanjung                             Semula wil. Kec. Rangkasbitung
36.02.24.2006                                                                         6 Sukamekarsari                               Semula wil. Kec. Rangkasbitung
36.02.24.2007                                                                         7 Cikatapis                                   Semula wil. Kec. Rangkasbitung
36.02.25.2001                                                                         1 Banjaririgasi                               Semula wil. Kec. Cipanas
36.02.25.2002                                                                         2 Ciladaeun                                   Semula wil. Kec. Cipanas
36.02.25.2003                                                                         3 Lebakgedong                                 Semula wil. Kec. Cipanas
36.02.25.2004                                                                         4 Banjarsari                                  Semula wil. Kec. Cipanas
36.02.25.2005                                                                         5 Lebaksitu                                   Semula wil. Kec. Cipanas
36.02.25.2006                                                                         6 Lebaksangka                                 Semula wil. Kec. Cipanas
36.02.26.2001                                                                                    1 Panyaungan                                      Semula wil. Kec. Panggarangan
36.02.26.2002                                                                                    2 Cihara                                          Semula wil. Kec. Panggarangan
36.02.26.2003                                                                                    3 Ciparahu                                        Semula wil. Kec. Panggarangan
36.02.26.2004                                                                                    4 Pondokpanjang                                   Semula wil. Kec. Panggarangan
36.02.26.2005                                                                                    5 Citeupuseun                                     Semula wil. Kec. Panggarangan
36.02.26.2006                                                                                    6 Lebakpeundeuy                                   Semula wil. Kec. Panggarangan
36.02.26.2007                                                                                    7 Mekarsari                                       Semula wil. Kec. Panggarangan
36.02.26.2008                                                                                    8 Karangkamulyan                                  Semula wil. Kec. Panggarangan
36.02.26.2009                                                                                    9 Barunai                                         Perda No. 1/2008
36.02.27.2001                                                                                    1 Datarcae                                        Semula wil. Kec. Bojongmanik
36.02.27.2002                                                                                    2 Cirinten                                        Semula wil. Kec. Bojongmanik
36.02.27.2003                                                                                    3 Karangnunggal                                   Semula wil. Kec. Bojongmanik
36.02.27.2004                                                                                    4 Kadudamas                                       Semula wil. Kec. Bojongmanik
36.02.27.2005                                                                                    5 Badur                                           Semula wil. Kec. Bojongmanik
36.02.27.2006                                                                                    6 Parakanlima                                     Semula wil. Kec. Bojongmanik
36.02.27.2007                                                                                    7 Nanggerang                                      Semula wil. Kec. Bojongmanik
36.02.27.2008                                                                                    8 Cempaka                                         Semula wil. Kec. Bojongmanik
36.02.27.2009                                                                                    9 Karoya                                          Perda No. 3/2006
36.02.27.2010                                                                                   10 Cibarani                                        Perda No. 1/2008
36.02.28.2001                                                                                    1 Peucangpari                                     Semula wil. Kec. Cijaku
36.02.28.2002                                                                                    2 Cibungur                                        Semula wil. Kec. Cijaku
36.02.28.2003                                                                                    3 Mugijaya                                        Semula wil. Kec. Cijaku
36.02.28.2004                                                                                    4 Cikate                                          Semula wil. Kec. Cijaku
36.02.28.2005                                                                                    5 Cigemblong                                      Semula wil. Kec. Cijaku
36.02.28.2006                                                                                    6 Cikadongdong                                    Semula wil. Kec. Cijaku
36.02.28.2007                                                                                    7 Cikaret                                         Semula wil. Kec. Cijaku
36.02.28.2008                                                                                    8 Wangunjaya                                      Perda No. 3/2006
36.03.01.1001                                                             1 Balaraja                                                               Menjadi Kel. Perda No. 3/2005
36.03.01.2003                                                                           1 Cangkudu
36.03.01.2005                                                                           2 Talagasari
36.03.01.2009                                                                           3 Tobat
36.03.01.2010                                                                           4 Sentul
36.03.01.2011                                                                           5 Gembong
36.03.01.2013                                                                           6 Sukamurni
36.03.01.2014                                                                           7 Saga
36.03.01.2016                                                                           8 Sentul Jaya
36.03.02.2001                                                                           1 Pangkat
36.03.02.2002                                                                           2 Pabuaran
36.03.02.2004                                                                           3 Pasir Muncang
36.03.02.2005                                                                           4 Sumur Bandung
36.03.02.2006                                                                           5 Jayanti
36.03.02.2007                                                                           6 Dangdeur
36.03.02.2008                                                                           7 Cikande
36.03.02.2009                                                                           8 Pasir Gintung
36.03.03.1001                                                     1 Tigaraksa                                                       Menjadi Kel. Perda No. 3/2005
36.03.03.2002                                                                           1 Pasir Bolang
36.03.03.2003                                                                           2 Matagara
36.03.03.2004                                                                           3 Pasir Nangka
36.03.03.2005                                                                           4 Pete
36.03.03.2006                                                                           5 Tegalsari
36.03.03.1007                                                     2 Kadu Agung                                                      Menjadi Kel. Perda No. 3/2005
36.03.03.2008                                                                           6 Pematang
36.03.03.2009                                                                           7 Cisereh
36.03.03.2010                                                                       8 Margasari
36.03.03.2011                                                                       9 Cileles
36.03.03.2012                                                                      10 Sodong
36.03.03.2013                                                                      11 Tapos
36.03.03.2014                                                                      12 Bantar Panjang
36.03.04.2001                                                                       1 Sukamanah
36.03.04.2002                                                                       2 Jambe
36.03.04.2003                                                                       3 Tipar Raya
36.03.04.2004                                                                       4 Taban
36.03.04.2005                                                                       5 Daru
36.03.04.2006                                                                       6 Kutruk
36.03.04.2007                                                                       7 Ranca Buaya
36.03.04.2008                                                                       8 Mekarsari
36.03.04.2009                                                                       9 Ancol Pasir
36.03.04.2010                                                                      10 Pasir Barat
36.03.05.2001                                                                       1 Cisoka
36.03.05.2002                                                                       2 Caringin
36.03.05.2003                                                                       3 Selapajang
36.03.05.2004                                                                       4 Sukatani
36.03.05.2006                                                                       5 Bojong Loa
36.03.05.2007                                                                       6 Cibugel
36.03.05.2008                                                                       7 Cempaka
36.03.05.2009                                                                       8 Carenang
36.03.05.2014                                                                       9 Karang Harja
36.03.05.2017                                                                      10 Jeungjing
36.03.06.2001                                                                      1 Pasir Ampo
36.03.06.2003                                                                      2 Rancailat
36.03.06.2007                                                                      3 Kemuning
36.03.06.2009                                                                      4 Renged
36.03.06.2011                                                                      5 Talok
36.03.06.2013                                                                      6 Koper
36.03.06.2014                                                                      7 Jengkol
36.03.06.2015                                                                      8 Patrasana
36.03.06.2018                                                                      9 Kresek
36.03.07.2001                                                                      1 Kronjo
36.03.07.2002                                                                      2 Pagenjahan
36.03.07.2006                                                                      3 Pasir
36.03.07.2007                                                                      4 Muncung
36.03.07.2008                                                                      5 Pagedangan Ilir
36.03.07.2009                                                                      6 Pagedangan Udik
36.03.07.2010                                                                      7 Pasilian
36.03.07.2013                                                                      8 Bakung
36.03.07.2015                                                                            9 Blukbuk
36.03.07.2017                                                                           10 Cirumpak
36.03.08.2001                                                                            1 Mauk Barat
36.03.08.1002                                                      1 Mauk Timur                                                          Menjadi Kel. Perda No. 3/2005
36.03.08.2003                                                                            2 Tegal Kunir Kidul
36.03.08.2004                                                                            3 Tegal Kunir Lor
36.03.08.2005                                                                            4 Sasak
36.03.08.2006                                                                            5 Gunung Sari
36.03.08.2007                                                                            6 Kedung Dalem
36.03.08.2008                                                                            7 Marga Mulya
36.03.08.2009                                                                            8 Tanjung Anom
36.03.08.2010                                                                            9 Jatiwaringin
36.03.08.2011                                                                           10 Banyu Asih
36.03.08.2012                                                                           11 Ketapang
36.03.09.2001                                                                            1 Patramanggala
36.03.09.2002                                                                            2 Karang Anyar
36.03.09.2003                                                                            3 Lontar
36.03.09.2004                                                                            4 Kemiri
36.03.09.2005                                                                            5 Ranca Labuh
36.03.09.2006                                                                            6 Klebet
36.03.09.2007                                                                            7 Legok Suka Maju
36.03.10.2001                                                                            1 Sukadiri
36.03.10.2002                                                                            2 Buaran Jati
36.03.10.2003                                                                            3 Rawa Kidang
36.03.10.2004                                                                            4 Pekayon
36.03.10.2005                                                                            5 Karang Serang
36.03.10.2006                                                                            6 Kosambi
36.03.10.2007                                                                            7 Mekar Kondang
36.03.10.2008                                                                            8 Gintung
36.03.11.2001                                                                             1 Rajeg
36.03.11.2002                                                                             2 Rajeg Mulya
36.03.11.2003                                                                             3 Pangarengan
36.03.11.2005                                                                             4 Jambu Karya
36.03.11.2006                                                                             5 Lembangsari
36.03.11.2007                                                                             6 Sukamanah
36.03.11.2008                                                                             7 Tanjakan
36.03.11.2009                                                                             8 Tanjakan Mekar
36.03.11.1010                                                      1 Sukatani                                                          Menjadi Kel. Perda No. 3/2005
36.03.11.2011                                                                             9 Sukasari
36.03.11.2012                                                                            10 Ranca Bango
36.03.11.2013                                                                            11 Daon
36.03.11.2014                                                                            12 Mekarsari
36.03.12.2001                                                                             1 Pasar Kemis
36.03.12.1005                                                      1 Sindangsari                                                       Menjadi Kel. Perda No. 3/2005
36.03.12.2008                                                                             2 Sukamantri
36.03.12.1010                                                      2 Kutabumi                                                          Menjadi Kel. Perda No. 3/2005
36.03.12.2011                                                                             3 Pangadegan
36.03.12.1012                                                      3 Kuta Jaya                                                         Menjadi Kel. Perda No. 3/2005
36.03.12.2013                                                                             4 Gelam Jaya
36.03.12.1014                                                      4 Kuta Baru                                                         Menjadi Kel. Perda No. 3/2005
36.03.12.2015                                                                             5 Suka Asih
36.03.13.2001                                                                             1 Teluknaga
36.03.13.2002                                                                             2 Bojong Renged
36.03.13.2003                                                                               3 Babakan Asem
36.03.13.2004                                                                               4 Keboncau
36.03.13.2005                                                                               5 Pangkalan
36.03.13.2006                                                                               6 Kmp Melayu Tim
36.03.13.2007                                                                               7 Kmp Melayu Brt
36.03.13.2008                                                                               8 Muara
36.03.13.2009                                                                               9 Lemo
36.03.13.2010                                                                              10 Tanjung Pasir
36.03.13.2011                                                                              11 Tegal Angus
36.03.13.2012                                                                              12 Tanjung Burung
36.03.13.2013                                                                              13 Kampung Besar
36.03.14.1001                                                      1 Kosambi Barat                                                        Menjadi Kel. Perda No. 3/2005
36.03.14.2002                                                                               1 Kosambi Timur
36.03.14.1003                                                      2 Salembaran Jaya                                                      Menjadi Kel. Perda No. 3/2005
36.03.14.2004                                                                               2 Salembaran Jati
36.03.14.2005                                                                               3 Ranga Rengas
36.03.14.2006                                                                               4 Rawa Burung
36.03.14.2007                                                                               5 Cengklong
36.03.14.2008                                                                               6 Belimbing
36.03.14.2009                                                                               7 Jati Mulya
36.03.14.1010                                                      3 Dadap                                                                Menjadi Kel. Perda No. 3/2005
36.03.15.1001                                                      1 Pakuhaji                                                             Menjadi Kel. Perda No. 3/2005
36.03.15.2002                                                                               1 Paku Alam
36.03.15.2003                                                                               2 Bonasari
36.03.15.2004                                                                               3 Rawa Boni
36.03.15.2005                                                                               4 Buaran Mangga
36.03.15.2006                                                                               5 Buaran Bambu
36.03.15.2007                                                                               6 Kalibaru
36.03.15.2008                                                                               7 Kohod
36.03.15.2009                                                                               8 Kramat
36.03.15.2010                                                                               9 Sukawali
36.03.15.2011                                                                              10 Surya Bahari
36.03.15.2012                                                                             11 Kiara Payung
36.03.15.2013                                                                             12 Laksana
36.03.15.2014                                                                             13 Gaga
36.03.16.1001                                                      1 Sepatan                                                           Menjadi Kel. Perda No. 3/2005
36.03.16.2002                                                                              1 Karet
36.03.16.2003                                                                              2 Kayu Agung
36.03.16.2004                                                                              3 Kayu Bongkok
36.03.16.2008                                                                              4 Pondok Jaya
36.03.16.2011                                                                              5 Pisangan Jaya
36.03.16.2012                                                                              6 Mekar Jaya
36.03.16.2015                                                                              7 Sarakan
36.03.17.1001                                                      1 Curug Kulon                                                       Menjadi Kel. Perda No. 3/2005
36.03.17.2002                                                                              1 Curug Wetan
36.03.17.2003                                                                              2 Kadu
36.03.17.2004                                                                              3 Kadu Jaya
36.03.17.1005                                                      2 Sukabakti                                                         Menjadi Kel. Perda No. 3/2005
36.03.17.1006                                                      3 Binong                                                            Menjadi Kel. Perda No. 3/2005
36.03.17.2010                                                                              4 Cukanggalih
36.03.18.1001                                                      1 Sukamulya                                                         Menjadi Kel. Perda No. 3/2005
36.03.18.2002                                                                            1 Cibadak
36.03.18.1003                                                      2 Bunder                                                          Menjadi Kel. Perda No. 3/2005
36.03.18.2004                                                                            2 Talaga
36.03.18.2005                                                                            3 Talagasari
36.03.18.2006                                                                            4 Dukuh
36.03.18.2007                                                                            5 Cikupa
36.03.18.2008                                                                            6 Sukanagara
36.03.18.2009                                                                            7 Bitung Jaya
36.03.18.2010                                                                            8 Pasir Gadung
36.03.18.2011                                                                            9 Sukadamai
36.03.18.2012                                                                           10 Pasir Jaya
36.03.18.2013                                                                           11 Budi Mulya
36.03.18.2014                                                                           12 Bojong
36.03.19.2001                                                                            1 Ranca Iyuh
36.03.19.1002                                                      1 Mekar Bakti                                                     Menjadi Kel., Perda No. 3/2005
36.03.19.2003                                                                            2 Peusar
36.03.19.2004                                                                            3 Ranca Kalapa
36.03.19.2005                                                                            4 Serdang Kulon
36.03.19.2006                                                                            5 Mekar Jaya
36.03.19.2007                                                                            6 Ciakar
36.03.19.2008                                                                            7 Panongan
36.03.20.2002                                                                            1 Caringin
36.03.20.2003                                                                            2 Serdang Wetan
36.03.20.2004                                                                            3 Babat
36.03.20.2005                                                                            4 Ciangir
36.03.20.2006                                                                            5 Legok
36.03.20.2007                                                                            6 Palasari
36.03.20.2008                                                                            7 Bojongkamal
36.03.20.2009                                                                            8 Rancagong
36.03.20.2010                                                                            9 Kemuning
36.03.20.1011                                                      1 Babakan                                                         Menjadi Kel., Perda No. 3/2005
36.03.20.2012                                                                               10 Cirarab
36.03.22.2002                                                                                1 Cicalengka
36.03.22.2003                                                                                2 Pagedangan
36.03.22.1004                                                      1 Medang                                                                Menjadi Kel. Perda No. 3/2005
36.03.22.2005                                                                                3 Cijantra
36.03.22.2006                                                                                4 Lengkong Kulon
36.03.22.2007                                                                                5 Situ Gadung
36.03.22.2008                                                                                6 Jatake
36.03.22.2009                                                                                7 Cihuni
36.03.22.2010                                                                                8 Kadu Sirung
36.03.22.2011                                                                                9 Malang Nengah
36.03.22.2012                                                                               10 Karang Tengah
36.03.23.1001                                                      1 Cisauk                                                                Menjadi Kel. Perda No. 3/2005
36.03.23.2003                                                                         1 Mekar Wangi
36.03.23.2005                                                                         2 Suradita
36.03.23.2006                                                                         3 Sampora
36.03.23.2009                                                                         4 Dangdang
36.03.23.2011                                                                         5 Cibogo
36.03.27.2001                                                                               1 Benda                                      Semula wil. Kec. Balaraja
36.03.27.2002                                                                               2 Sukamulya                                  Semula wil. Kec. Balaraja
36.03.27.2003                                                                               3 Kaliasin                                   Semula wil. Kec. Balaraja
36.03.27.2004                                                                               4 Buniayu                                    Semula wil. Kec. Balaraja
36.03.27.2005                                                                               5 Parahu                                     Semula wil. Kec. Balaraja
36.03.27.2006                                                                               6 Merak                                      Semula wil. Kec. Balaraja
36.03.27.2007                                                                               7 Bunar                                      Semula wil. Kec. Balaraja
36.03.27.2008                                                                               8 Kubang                                     Semulawil. Kec. Jayanti
36.03.28.1001                                                       1 Kelapa Dua                                                         Semula wil. Kec. Curug
36.03.28.1002                                                       2 Bencongan                                                          Semula wil. Kec. Curug
36.03.28.1003                                                       3 Bencongan Indah                                                    Semula wil. Kec. Curug
36.03.28.1004                                                       4 Pakulonan Barat                                                    Semula wil. Kec. Curug
36.03.28.1005                                                       5 Bojong Nangka                                                      Semula wil. Kec. Legok
36.03.28.2006                                                                               1 Curug Sangereng                            Semula wil. Kec. Pagedangan
36.03.29.2001                                                                               1 Sindang Jaya                               Semula wil. Kec. Pasar Kemis
36.03.29.2002                                                                               2 Wanakerta                                  Semula wil. Kec. Pasar Kemis
36.03.29.2003                                                                               3 Sukaharja                                  Semula wil. Kec. Pasar Kemis
36.03.29.2004                                                                               4 Sindangasih                                Semula wil. Kec. Pasar Kemis
36.03.29.2005                                                                               5 Sindangpanon                               Semula wil. Kec. Pasar Kemis
36.03.29.2006                                                                               6 Sindangsono                                Semula wil. Kec. Pasar Kemis
36.03.29.2007                                                                         7 Badak Anom                               Semula wil. Kec. Rajeg
36.03.30.2001                                                                         1 Kedaung Barat                            Semula wil. Kec. Sepatan
36.03.30.2002                                                                         2 Lebak Wangi                              Semula wil. Kec. Sepatan
36.03.30.2003                                                                         3 Jati Mulya                               Semula wil. Kec. Sepatan
36.03.30.2004                                                                         4 Sangiang                                 Semula wil. Kec. Sepatan
36.03.30.2005                                                                         5 Gempol Sari                              Semula wil. Kec. Sepatan
36.03.30.2006                                                                         6 Kampung Kelor                            Semula wil. Kec. Sepatan
36.03.30.2007                                                                         7 Pondok Kelor                             Semula wil. Kec. Sepatan
36.03.30.2008                                                                         8 Tanah Merah                              Semula wil. Kec. Sepatan
36.03.31.2001                                                                         1 Solear                                   Semula wil. Kec. Cisoka
36.03.31.2002                                                                         2 Cikuya                                   Semula wil. Kec. Cisoka
36.03.31.2003                                                                         3 Cikasungka                               Semula wil. Kec. Cisoka
36.03.31.2004                                                                         4 Cireundeu                                Semula wil. Kec. Cisoka
36.03.31.2005                                                                         5 Cikareo                                  Semula wil. Kec. Cisoka
36.03.31.2006                                                                         6 Pasanggrahan                             Semula wil. Kec. Cisoka
36.03.31.2007                                                                         7 Munjul                                   Semula wil. Kec. Cisoka
36.03.32.2001                                                                         1 Gunung Kaler                             Semula wil. Kec. Kresek
36.03.32.2002                                                                         2 Sidoko                                   Semula wil. Kec. Kresek
36.03.32.2003                                                                         3 Rancagede                                Semula wil. Kec. Kresek
36.03.32.2004                                                                         4 Kedung                                   Semula wil. Kec. Kresek
36.03.32.2005                                                                         5 Cipaeh                                   Semula wil. Kec. Kresek
36.03.32.2006                                                                         6 Onyam                                    Semula wil. Kec. Kresek
36.03.32.2007                                                                         7 Tamiang                                  Semula wil. Kec. Kresek
36.03.32.2008                                                                         8 Kandawati                                Semula wil. Kec. Kresek
36.03.32.2009                                                                         9 Cibetok                                  Semula wil. Kec. Kresek
36.03.33.2001                                                                         1 Mekar Baru                               Semula wil. Kec. Kronjo
36.03.33.2002                                                                         2 Kedaung                                  Semula wil. Kec. Kronjo
36.03.33.2003                                                                         3 Cijeruk                                  Semula wil. Kec. Kronjo
36.03.33.2004                                                                         4 Waliwis                                  Semula wil. Kec. Kronjo
36.03.33.2005                                                                         5 Klutuk                                   Semula wil. Kec. Kronjo
36.03.33.2006                                                                                  6 Jenggot                                       Semula wil. Kec. Kronjo
36.03.33.2007                                                                                  7 Kosambi Dalam                                 Semula wil. Kec. Kronjo
36.03.33.2008                                                                                  8 Gandaria                                      Semula wil. Kec. Kronjo
36.04.05.2001                                                                          1 Kramatwatu
36.04.05.2002                                                                          2 Margasana
36.04.05.2003                                                                          3 Pejaten
36.04.05.2004                                                                          4 Toyomerto
36.04.05.2005                                                                          5 Harjatani
36.04.05.2006                                                                          6 Serdang
36.04.05.2007                                                                          7 Terate
36.04.05.2008                                                                          8 Tonjong
36.04.05.2009                                                                          9 Pamengkang
36.04.05.2010                                                                         10 Pegadingan
36.04.05.2011                                                                         11 Lebakwana
36.04.05.2012                                                                         12 Wanayasa
36.04.05.2013                                                                         13 Pelamunan
36.04.05.2014                                                                         14 Teluk Terate
36.04.05.2015                                                                         15 Margatani                                  Pemekaran Wil Desa Harjatani Perda No 6/2009
36.04.06.2001                                                                          1 Waringinkurung
36.04.06.2002                                                                          2 Talaga Luhur
36.04.06.2003                                                                          3 Binangun
36.04.06.2004                                                                          4 Melati
36.04.06.2005                                                                          5 Sasahan
36.04.06.2006                                                                          6 Suka Dalem
36.04.06.2007                                                                          7 Sukabares
36.04.06.2008                                                                          8 Sambilawang
36.04.06.2009                                                                          9 Sampir
36.04.06.2010                                                                         10 Cokopsulanjana
36.04.06.2011                                                                         11 Kemuning
36.04.07.2001                                                                       1 Bojonegara
36.04.07.2002                                                                       2 Mangkunegara
36.04.07.2003                                                                       3 Wanakarta
36.04.07.2004                                                                       4 Karang Kepuh
36.04.07.2005                                                                       5 Lambangsari
36.04.07.2006                                                                       6 Kertasana
36.04.07.2007                                                                       7 Margagiri
36.04.07.2008                                                                       8 Ukirsari
36.04.07.2009                                                                       9 Pakuncen
36.04.07.2010                                                                      10 Pangarengan
36.04.07.2011                                                                      11 Mekar Jaya                               Pemekaran desa Pengarengan Perda No. 834/2012
36.04.08.2001                                                                       1 Pulo Ampel
36.04.08.2002                                                                       2 Sumuranja
36.04.08.2003                                                                       3 Mangunreja
36.04.08.2004                                                                       4 Gedung Soka
36.04.08.2005                                                                       5 Salira
36.04.08.2006                                                                       6 Argawana
36.04.08.2007                                                                       7 Banyuwangi
36.04.08.2008                                                                       8 Margasari
36.04.08.2009                                                                       9 Pulo Panjang                             Semula wil. Kec. Kasemen, Perda No. 10/2007
36.04.09.2001                                                                       1 Ciruas
36.04.09.2002                                                                       2 Citerep
36.04.09.2003                                                                       3 Pulo
36.04.09.2004                                                                       4 Kadikaran
36.04.09.2005                                                                       5 Kepandean
36.04.09.2006                                                                       6 Gosara
36.04.09.2009                                                                       7 Bumijaya
36.04.09.2010                                                                       8 Penggalang
36.04.09.2011                                                                       9 Pamong
36.04.09.2012                                                                      10 Cigelam
36.04.09.2013                                                                      11 Singamerta
36.04.09.2014                                                                      12 Ranjeng
36.04.09.2015                                                                      13 Beberan                                  Semula wil Kec. Walantaka, Perda No. 10/2007
36.04.09.2016                                                                      14 Kaserangan                               Semula wil Kec. Walantaka, Perda No. 10/2007
36.04.09.2017                                                                      15 Pelawad                                  Pemekaran desa Citerep Perda No. 6/2009
36.04.11.2001                                                                       1 Kragilan
36.04.11.2002                                                                       2 Silebu
36.04.11.2003                                                                       3 Pematang
36.04.11.2004                                                                       4 Dukuh
36.04.11.2005                                                                       5 Undar Andir
36.04.11.2006                                                                       6 Sukajadi
36.04.11.2007                                                                       7 Sentul
36.04.11.2008                                                                       8 Jeruk Tipis
36.04.11.2011                                                                       9 Kendayakan
36.04.11.2012                                                                      10 Tegalmaja
36.04.11.2013                                                                      11 Cisait
36.04.11.2014                                                                      12 Kramatjati
36.04.12.2001                                                                       1 Pontang
36.04.12.2002                                                                       2 Sukanegara
36.04.12.2003                                                                       3 Linduk
36.04.12.2004                                                                       4 Pulokencana
36.04.12.2006                                                                       5 Kelapian
36.04.12.2008                                                                       6 Kubang Puji
36.04.12.2009                                                                       7 Domas
36.04.12.2010                                                                       8 Singarajan
36.04.12.2011                                                                       9 Kaserangan
36.04.12.2012                                                                      10 Wanayasa
36.04.12.2013                                                                      11 Suka Jaya
36.04.13.2001                                                                       1 Tirtayasa
36.04.13.2002                                                                       2 Samparwadi
36.04.13.2003                                                                       3 Kamanisan
36.04.13.2004                                                                       4 Pontang Legon
36.04.13.2005                                                                       5 Kebon
36.04.13.2006                                                                       6 Sujung
36.04.13.2007                                                                       7 Lontar
36.04.13.2008                                                                       8 Susukan
36.04.13.2009                                                                       9 Wargasara
36.04.13.2010                                                                      10 Laban
36.04.13.2011                                                                      11 Tengkurak
36.04.13.2012                                                                      12 Alang-alang
36.04.13.2013                                                                      13 Kebuyutan
36.04.13.2014                                                                       14 Puser
36.04.14.2001                                                                        1 Tanara
36.04.14.2002                                                                        2 Cerukcuk
36.04.14.2003                                                                        3 Tenjoayu
36.04.14.2004                                                                        4 Sukamanah
36.04.14.2005                                                                        5 Lempuyang
36.04.14.2006                                                                        6 Siremen
36.04.14.2007                                                                        7 Bendung
36.04.14.2008                                                                        8 Pedaleman
36.04.14.2009                                                                        9 Cibodas
36.04.15.2001                                                                        1 Cikande
36.04.15.2002                                                                        2 Leuwi Limus
36.04.15.2003                                                                        3 Nambo Udik
36.04.15.2004                                                                        4 Parigi
36.04.15.2005                                                                        5 Koper
36.04.15.2006                                                                        6 Bakung
36.04.15.2007                                                                        7 Julang
36.04.15.2008                                                                        8 Sukatani
