33.01.01.2001                                                                             1 Tambakreja
33.15.09.2010                                                                              10 Belor
33.15.09.2011                                                                              11 Tanjungharjo
33.15.09.2012                                                                              12 Sumberagung
33.15.10.2001                                                                               1 Tambahrejo
33.15.10.2002                                                                               2 Kropak
33.15.10.2003                                                                               3 Kalirejo
33.15.10.2004                                                                               4 Dapurno
33.15.10.2005                                                                               5 Mojorebo
33.15.10.1006                                                      1 Wirosari
33.15.10.1007                                                      2 Kunden
33.15.10.2008                                                                               6 Tanjungrejo
33.15.10.2009                                                                               7 Sambirejo
33.15.10.2010                                                                               8 Gedangan
33.15.10.2011                                                                               9 Tambakselo
33.15.10.2012                                                                              10 Karangasem                               Koreksi Srt No. 120/658/I tgl.18 Pebr' 2016, Surat Sekda Bupati
33.15.10.2013                                                                              11 Dokoro
33.15.10.2014                                                                              12 Tegalrejo
33.15.11.2001                                                                             1 Mayahan
33.15.11.2002                                                                             2 Pulongrambe
33.15.11.2003                                                                             3 Jono
33.15.11.2004                                                                             4 Selo
33.15.11.2005                                                                             5 Tawangharjo
33.15.11.2006                                                                             6 Tarub
33.15.11.2007                                                                             7 Pojok
33.15.11.2008                                                                             8 Plosorejo
33.15.11.2009                                                                             9 Godan
33.15.11.2010                                                                            10 Kemadahbatur
33.15.12.1001                                                      1 Grobogan
33.15.12.2002                                                                             1 Getasrejo
33.15.12.2003                                                                             2 Rejosari
33.15.12.2004                                                                             3 Tanggungharjo
33.15.12.2005                                                                             4 Teguhan
33.15.12.2006                                                                             5 Ngabenrejo
33.15.12.2007                                                                             6 Karangrejo
33.15.12.2008                                                                             7 Putatsari
33.15.12.2009                                                                             8 Lebak
33.15.12.2010                                                                             9 Lebengjumuk
33.15.12.2011                                                                            10 Sedayu
33.15.12.2012                                                                            11 Sumberjatipohon
33.15.13.2001                                                                             1 Candisari
33.15.13.2002                                                                             2 Genuksuran
33.15.13.1003                                                      1 Danyang
33.15.13.1004                                                      2 Kalongan
33.15.13.2005                                                                             3 Ngraji
33.15.13.2006                                                                             4 Kandangan
33.15.13.2007                                                                             5 Nambuhan
33.15.13.2008                                                                             6 Warukaranganyar
33.15.13.2009                                                                             7 Nglobar
33.15.13.2010                                                                                8 Kedungrejo
33.15.13.2011                                                                                9 Karanganyar
33.15.13.1012                                                      3 Purwodadi
33.15.13.1013                                                      4 Kuripan
33.15.13.2014                                                                               10 Ngembak
33.15.13.2015                                                                               11 Cingkrong
33.15.13.2016                                                                               12 Pulorejo
33.15.13.2017                                                                               13 Putat
33.15.14.2001                                                                                1 Menduran
33.15.14.2002                                                                                2 Jangkungharjo
33.15.14.2003                                                                                3 Temon
33.15.14.2004                                                                                4 Lemah Putih
33.15.14.2005                                                                                5 Tirem
33.15.14.2006                                                                                6 Karangsari
33.15.14.2007                                                                                7 Kronggen
33.15.14.2008                                                                                8 Katekan
33.15.14.2009                                                                                9 Tegalsumur
33.15.15.2001                                                                                1 Kandangrejo
33.15.15.2002                                                                                2 Selojari
33.15.15.2003                                                                                3 Taruman
33.15.15.2004                                                                                4 Penganten
33.15.15.2005                                                                                5 Klambu
33.15.15.2006                                                                                6 Menawan
33.15.15.2007                                                                                7 Terkesi
33.15.15.2008                                                                                8 Jenengan
33.15.15.2009                                                                                9 Wandan Kemiri
33.15.16.2001                                                                                1 Guyangan
33.15.16.2002                                                                                2 Werdoyo
33.15.16.2003                                                                                3 Guci
33.15.16.2004                                                                                4 Anggaswangi
33.15.16.2005                                                                                5 Ketangirejo
33.15.16.2006                                                                       6 Sambung
33.15.16.2007                                                                       7 Sumurgede
33.15.16.2008                                                                       8 Latak
33.15.16.2009                                                                       9 Tungu
33.15.16.2010                                                                      10 Pahesan
33.15.16.2011                                                                      11 Wanutunggal
33.15.16.2012                                                                      12 Karanggeneng
33.15.16.2013                                                                      13 Manggarwetan
33.15.16.2014                                                                      14 Tinanding
33.15.16.2015                                                                      15 Manggarmas
33.15.16.2016                                                                      16 Harjowinangun
33.15.16.2017                                                                      17 Rajek
33.15.16.2018                                                                      18 Dorolegi
33.15.16.2019                                                                      19 Kopek
33.15.16.2020                                                                      20 Kemloko
33.15.16.2021                                                                      21 Sumberagung
33.15.16.2022                                                                      22 Gundi
33.15.16.2023                                                                      23 Jatilor
33.15.16.2024                                                                      24 Bringin
33.15.16.2025                                                                      25 Klampok
33.15.16.2026                                                                      26 Godong
33.15.16.2027                                                                      27 Ketitang
33.15.16.2028                                                                      28 Bugel
33.15.17.2001                                                                       1 Penadaran
33.15.17.2002                                                                       2 Ginggangtani
33.15.17.2003                                                                       3 Glapan
33.15.17.2004                                                                       4 Trisari
33.15.17.2005                                                                       5 Ngroto
33.15.17.2006                                                                       6 Jeketro
33.15.17.2007                                                                       7 Saban
33.15.17.2008                                                                       8 Mlilir
33.15.17.2009                                                                       9 Kemiri
33.15.17.2010                                                                      10 Papanrejo
33.15.17.2011                                                                         11 Kunjeng
33.15.17.2012                                                                         12 Kuwaron
33.15.17.2013                                                                         13 Rowosari
33.15.17.2014                                                                         14 Gubug
33.15.17.2015                                                                         15 Pranten
33.15.17.2016                                                                         16 Baturagung
33.15.17.2017                                                                         17 Jatipecaron
33.15.17.2018                                                                         18 Tambakan
33.15.17.2019                                                                         19 Ringinkidul
33.15.17.2020                                                                         20 Ringinharjo
33.15.17.2021                                                                         21 Tlogomulyo
33.15.18.2001                                                                          1 Kebonagung
33.15.18.2002                                                                          2 Tlogorejo
33.15.18.2003                                                                          3 Medani
33.15.18.2004                                                                          4 Sukorejo
33.15.18.2005                                                                          5 Tanggirejo
33.15.18.2006                                                                          6 Mangunsari
33.15.18.2007                                                                          7 Gebangan
33.15.18.2008                                                                          8 Kejawan
33.15.18.2009                                                                          9 Tegowanuwetan
33.15.18.2010                                                                         10 Tegowanukulon
33.15.18.2011                                                                         11 Tajemsari
33.15.18.2012                                                                         12 Karangpasar
33.15.18.2013                                                                         13 Kedungwungu
33.15.18.2014                                                                         14 Pepe
33.15.18.2015                                                                         15 Curug
33.15.18.2016                                                                         16 Cangkring
33.15.18.2017                                                                         17 Gaji
33.15.18.2018                                                                         18 Tunjungharjo
33.15.19.2001                                                                          1 Ringinpitu
33.15.19.2002                                                                          2 Ngambakrejo
33.15.19.2003                                                                          3 Kapung
33.15.19.2004                                                                                       4 Mrisi
33.15.19.2005                                                                                       5 Kaliwenang
33.15.19.2006                                                                                       6 Sugihmanik
33.15.19.2007                                                                                       7 Tanggungharjo
33.15.19.2008                                                                                       8 Brabo
33.15.19.2009                                                                                       9 Padang
33.16.01.2001                                                                                       1 Bangkleyan
33.16.01.2002                                                                                       2 Gempol
33.16.01.2003                                                                                       3 Kepoh
33.16.01.2004                                                                                       4 Pelem
33.16.01.2005                                                                                       5 Jegong
33.16.01.2006                                                                                       6 Jati
33.16.01.2007                                                                                       7 Singget
33.16.01.2008                                                                                       8 Gabusan
33.16.01.2009                                                                                       9 Doplang
33.16.01.2010                                                                                      10 Randulawang
33.16.01.2011                                                                                      11 Tobo
33.16.01.2012                                                                                      12 Pengkoljagong
33.16.02.2001                                                                                       1 Tlogotuwung
33.16.02.2002                                                                                       2 Bodeh
33.16.02.2003                                                                                       3 Gembyungan
33.16.02.2004                                                                                       4 Sambongwangan
33.16.02.1005                                                              1 Randublatung
33.16.02.2006                                                                                       5 Pilang
33.16.02.2007                                                                                       6 Temulus
33.16.02.2008                                                                                       7 Sumberejo
33.16.02.2009                                                                                       8 Kutukan
33.16.02.2010                                                                                       9 Kediren
33.16.02.1011                                                              2 Wulung
33.16.02.2012                                                                                      10 Kadengan
33.16.02.2013                                                                      11 Bekutuk
33.16.02.2014                                                                      12 Plosorejo
33.16.02.2015                                                                      13 Jeruk
33.16.02.2016                                                                      14 Tanggel
33.16.02.2017                                                                      15 Kalisari
33.16.02.2018                                                                      16 Ngliron
33.16.03.2001                                                                       1 Megeri
33.16.03.2002                                                                       2 Nglebak
33.16.03.2003                                                                       3 Getas
33.16.03.2004                                                                       4 Nginggil
33.16.03.2005                                                                       5 Ngrawoh
33.16.03.2006                                                                       6 Mendenrejo
33.16.03.2007                                                                       7 Sumber
33.16.03.2008                                                                       8 Mojorembun
33.16.03.2009                                                                       9 Nglungger
33.16.03.2010                                                                      10 Medalem
33.16.04.2001                                                                       1 Gondel
33.16.04.2002                                                                       2 Ketuwan
33.16.04.2003                                                                       3 Jimbung
33.16.04.2004                                                                       4 Panolan
33.16.04.2005                                                                       5 Klagen
33.16.04.2006                                                                       6 Kemantren
33.16.04.2007                                                                       7 Sidorejo
33.16.04.2008                                                                       8 Wado
33.16.04.2009                                                                       9 Pulo
33.16.04.2010                                                                      10 Tanjung
33.16.04.2011                                                                      11 Sogo
33.16.04.2012                                                                      12 Bajo
33.16.04.2013                                                                      13 Nglandeyan
33.16.04.2014                                                                      14 Kalen
33.16.04.2015                                                                      15 Ngraho
33.16.04.2016                                                                      16 Kedungtuban
33.16.04.2017                                                                             17 Galuk
33.16.05.2001                                                                              1 Gadon
33.16.05.2002                                                                              2 Ngloram
33.16.05.2003                                                                              3 Cabean
33.16.05.2004                                                                              4 Kapuan
33.16.05.2005                                                                              5 Jipang
33.16.05.2006                                                                              6 Getas
33.16.05.2007                                                                              7 Sumberpitu
33.16.05.2008                                                                              8 Kentong
33.16.05.2009                                                                              9 Mernung
33.16.05.2010                                                                             10 Mulyorejo
33.16.05.1011                                                     1 Tambakromo
33.16.05.2012                                                                             11 Nglanjuk
33.16.05.1013                                                     2 Balun
33.16.05.1014                                                     3 Cepu
33.16.05.1015                                                     4 Ngelo
33.16.05.1016                                                     5 Karangboyo
33.16.05.1017                                                     6 Ngroto
33.16.06.2001                                                                              1 Temengeng
33.16.06.2002                                                                              2 Sambongrejo
33.16.06.2003                                                                              3 Gadu
33.16.06.2004                                                                              4 Sambong
33.16.06.2005                                                                              5 Pojokwatu
33.16.06.2006                                                                              6 Gagakan
33.16.06.2007                                                                              7 Biting
33.16.06.2008                                                                              8 Brabowan
33.16.06.2009                                                                              9 Ledok
33.16.06.2010                                                                             10 Giyanti
33.16.07.2001                                                                              1 Nglobo
33.16.07.2002                                                                              2 Cabak
33.16.07.2003                                                                              3 Nglebur
33.16.07.2004                                                                         4 Janjang
33.16.07.2005                                                                         5 Bleboh
33.16.07.2006                                                                         6 Ketringan
33.16.07.2007                                                                         7 Singonegoro
33.16.07.2008                                                                         8 Jiken
33.16.07.2009                                                                         9 Genjahan
33.16.07.2010                                                                        10 Jiworejo
33.16.07.2011                                                                        11 Bangowan
33.16.08.2001                                                                         1 Blungun
33.16.08.2002                                                                         2 Semanggi
33.16.08.2003                                                                         3 Ngampon
33.16.08.2004                                                                         4 Jomblang
33.16.08.2005                                                                         5 Palon
33.16.08.2006                                                                         6 Bangsri
33.16.08.2007                                                                         7 Sumurboto
33.16.08.2008                                                                         8 Brumbung
33.16.08.2009                                                                         9 Turirejo
33.16.08.2010                                                                        10 Semampir
33.16.08.2011                                                                        11 Kemiri
33.16.08.2012                                                                        12 Tempellemahbang
33.16.08.1013                                                     1 Jepon
33.16.08.2014                                                                        13 Seso
33.16.08.2015                                                                        14 Balong
33.16.08.2016                                                                        15 Geneng
33.16.08.2017                                                                        16 Nglarohgunung
33.16.08.2018                                                                        17 Kawengan
33.16.08.2019                                                                        18 Gersi
33.16.08.2020                                                                        19 Gedangdowo
33.16.08.2021                                                                        20 Puledagel
33.16.08.2022                                                                        21 Bacem
33.16.08.2023                                                                        22 Jatirejo
33.16.08.2024                                                                        23 Soko
33.16.08.2025                                                                        24 Waru
33.16.09.2001                                                                                1 Jepangrejo
33.16.09.2002                                                                                2 Kamolan
33.16.09.2003                                                                                3 Pelem
33.16.09.2004                                                                                4 Purworejo
33.16.09.2005                                                                                5 Andongrejo
33.16.09.1006                                                      1 Beran
33.16.09.2007                                                                                6 Jejeruk
33.16.09.1008                                                      2 Bangkle
33.16.09.1009                                                      3 Kedungjenar
33.16.09.1010                                                      4 Mlangsen
33.16.09.1011                                                      5 Jetis
33.16.09.1012                                                      6 Tambahrejo
33.16.09.1013                                                      7 Kauman
33.16.09.1014                                                      8 Sonorejo
33.16.09.1015                                                      9 Kunden
33.16.09.1016                                                     10 Tempelan
33.16.09.1017                                                     11 Tegalgunung
33.16.09.1018                                                     12 Karangjati
33.16.09.2019                                                                                7 Temurejo
33.16.09.2020                                                                                8 Tempurejo
33.16.09.2021                                                                                9 Patalan
33.16.09.2022                                                                               10 Tambaksari
33.16.09.2023                                                                               11 Purwosari
33.16.09.2024                                                                               12 Ngadipurwo
33.16.09.2025                                                                               13 Sendangharjo
33.16.09.2026                                                                               14 Tempuran
33.16.09.2027                                                                               15 Plantungan
33.16.09.2028                                                                               16 Ngampel
33.16.10.2001                                                                                1 Tawangrejo
33.16.10.2002                                                                                2 Kedungringin
33.16.10.2003                                                                                3 Adirejo
33.16.10.2004                                                                                4 Tamanrejo
33.16.10.2005                                                                        5 Tutup
33.16.10.2006                                                                        6 Sukorejo
33.16.10.2007                                                                        7 Tambahrejo
33.16.10.2008                                                                        8 Kalangan
33.16.10.2009                                                                        9 Sambongrejo
33.16.10.2010                                                                       10 Tunjungan
33.16.10.2011                                                                       11 Kedungrejo
33.16.10.2012                                                                       12 Gempolrejo
33.16.10.2013                                                                       13 Nglangitan
33.16.10.2014                                                                       14 Keser
33.16.10.2015                                                                       15 Sitirejo
33.16.11.2001                                                                        1 Jatisari
33.16.11.2002                                                                        2 Jatiklampok
33.16.11.2003                                                                        3 Klopoduwur
33.16.11.2004                                                                        4 Sidomulyo
33.16.11.2005                                                                        5 Balongsari
33.16.11.2006                                                                        6 Bacem
33.16.11.2007                                                                        7 Wonosemi
33.16.11.2008                                                                        8 Sendanggayam
33.16.11.2009                                                                        9 Banjarejo
33.16.11.2010                                                                       10 Mojowetan
33.16.11.2011                                                                       11 Sumberagung
33.16.11.2012                                                                       12 Gedongsari
33.16.11.2013                                                                       13 Sendangwungu
33.16.11.2014                                                                       14 Balongrejo
33.16.11.2015                                                                       15 Karangtalun
33.16.11.2016                                                                       16 Kebonrejo
33.16.11.2017                                                                       17 Kembang
33.16.11.2018                                                                       18 Sembongin
33.16.11.2019                                                                       19 Plosorejo
33.16.11.2020                                                                       20 Buluroto
33.16.12.2001                                                                        1 Rowobungkul
33.16.12.2002                                                                           2 Gedebeg
33.16.12.2003                                                                           3 Sambonganyar
33.16.12.2004                                                                           4 Kendayaan
33.16.12.2005                                                                           5 Plumbon
33.16.12.2006                                                                           6 Bergolo
33.16.12.2007                                                                           7 Bandungrojo
33.16.12.2008                                                                           8 Kedungsatriyan
33.16.12.2009                                                                           9 Karangtengah
33.16.12.2010                                                                          10 Jetakwanger
33.16.12.2011                                                                          11 Sumberejo
33.16.12.2012                                                                          12 Sendangagung
33.16.12.2013                                                                          13 Talokwohmojo
33.16.12.2014                                                                          14 Trembulrejo
33.16.12.1015                                                     1 Punggursugih
33.16.12.2016                                                                          15 Gondang
33.16.12.2017                                                                          16 Sendangrejo
33.16.12.1018                                                     2 Ngawen
33.16.12.2019                                                                          17 Semawur
33.16.12.2020                                                                          18 Bradag
33.16.12.2021                                                                          19 Gotputuk
33.16.12.2022                                                                          20 Berbak
33.16.12.2023                                                                          21 Sarimulyo
33.16.12.2024                                                                          22 Sendangmulyo
33.16.12.2025                                                                          23 Wantilgung
33.16.12.2026                                                                          24 Bogowanti
33.16.12.2027                                                                          25 Sambongrejo
33.16.12.2028                                                                          26 Srigading
33.16.12.2029                                                                          27 Karangjong
33.16.13.2001                                                                           1 Botoreco
33.16.13.2002                                                                           2 Buloh
33.16.13.2003                                                                           3 Kemiri
33.16.13.2004                                                                           4 Kodokan
33.16.13.2005                                                                           5 Sonokidul
33.16.13.2006                                                                            6 Sempu
33.16.13.2007                                                                            7 Cungkup
33.16.13.2008                                                                            8 plosorejo
33.16.13.2009                                                                            9 Ngilen
33.16.13.2010                                                                           10 Bakah
33.16.13.2011                                                                           11 Kalangrejo
33.16.13.2012                                                                           12 Blumbangrejo
33.16.13.2013                                                                           13 Tawangrejo
33.16.13.2014                                                                           14 Klokah
33.16.13.2015                                                                           15 Muraharjo
33.16.13.2016                                                                           16 Jagong
33.16.13.1017                                                      1 Kunduran
33.16.13.2018                                                                           17 Gagaan
33.16.13.2019                                                                           18 Sambiroto
33.16.13.2020                                                                           19 Bejirejo
33.16.13.2021                                                                           20 Jetak
33.16.13.2022                                                                           21 Karanggeneng
33.16.13.2023                                                                           22 Balong
33.16.13.2024                                                                           23 Ngawenombo
33.16.13.2025                                                                           24 Sendangwates
33.16.13.2026                                                                           25 Kedungwaru
33.16.14.2001                                                                            1 Tinapan
33.16.14.2002                                                                            2 Sambeng
33.16.14.2003                                                                            3 Prigi
33.16.14.2004                                                                            4 Pelemsengir
33.16.14.2005                                                                            5 Kacangan
33.16.14.2006                                                                            6 Sonokulon
33.16.14.2007                                                                            7 Kedungwungu
33.16.14.2008                                                                            8 Gunungan
33.16.14.2009                                                                            9 Kajengan
33.16.14.2010                                                                           10 Dringo
33.16.14.2011                                                                           11 Cokrowati
33.16.14.2012                                                                           12 Ketileng
33.16.14.2013                                                                       13 Todanan
33.16.14.2014                                                                       14 Ngumbul
33.16.14.2015                                                                       15 Wukirsari
33.16.14.2016                                                                       16 Bicak
33.16.14.2017                                                                       17 Sendang
33.16.14.2018                                                                       18 Karanganyar
33.16.14.2019                                                                       19 Dalangan
33.16.14.2020                                                                       20 Candi
33.16.14.2021                                                                       21 Gondoriyo
33.16.14.2022                                                                       22 Kembang
33.16.14.2023                                                                       23 Bedingin
33.16.14.2024                                                                       24 Ledok
33.16.14.2025                                                                       25 Kedungbacin
33.16.15.2001                                                                        1 Gombang
33.16.15.2002                                                                        2 Sarirejo
33.16.15.2003                                                                        3 Karanganyar
33.16.15.2004                                                                        4 Karang
33.16.15.2005                                                                        5 Prantaan
33.16.15.2006                                                                        6 Jeruk
33.16.15.2007                                                                        7 Bogorejo
33.16.15.2008                                                                        8 Gembol
33.16.15.2009                                                                        9 Tempurejo
33.16.15.2010                                                                       10 Gayam
33.16.15.2011                                                                       11 Sendangrejo
33.16.15.2012                                                                       12 Gandu
33.16.15.2013                                                                       13 Nglengkir
33.16.15.2014                                                                       14 Jurangjero
33.16.16.2001                                                                        1 Harjowinangun
33.16.16.2002                                                                        2 Tengger
33.16.16.2003                                                                        3 Krocok
33.16.16.2004                                                                        4 Ngapus
33.16.16.2005                                                                        5 Dologan
33.16.16.2006                                                                               6 Tlogowungu
33.16.16.2007                                                                               7 Japah
33.16.16.2008                                                                               8 Beganjing
33.16.16.2009                                                                               9 Ngrambitan
33.16.16.2010                                                                              10 Pengkolrejo
33.16.16.2011                                                                              11 Bogorejo
33.16.16.2012                                                                              12 Wotbakah
33.16.16.2013                                                                              13 Padaan
33.16.16.2014                                                                              14 Bogem
33.16.16.2015                                                                              15 Sumberejo
33.16.16.2016                                                                              16 Ngiyono
33.16.16.2017                                                                              17 Gaplokan
33.16.16.2018                                                                              18 Kalinanas
33.17.01.2001                                                                               1 Ronggo Mulyo
33.17.01.2002                                                                               2 Logede
33.17.01.2003                                                                               3 Pelemsari
33.17.01.2004                                                                               4 Logung
33.17.01.2005                                                                               5 Krikilan
33.17.01.2006                                                                               6 Kedungtulub                                 Surat Sekda Kab. Rembang No 045.2/0423/2016 tgl 15 Maret
33.17.01.2007                                                                               7 Polbayem
33.17.01.2008                                                                               8 Jatihadi
33.17.01.2009                                                                               9 Sumber
33.17.01.2010                                                                              10 Jadi
33.17.01.2011                                                                              11 Grawan
